ligand,target,affinity,error,kind
AChE_NP_CNP0190213.2,AChE,-9.86,,candidate
AChE_NP_CNP0215173.1,AChE,-10.21,,candidate
AChE_drug_hesperetin,AChE,-9.1,,candidate
AChE_drug_cryptotanshinone,AChE,-10.47,,candidate
MAO-B_NP_CNP0349822.1,MAO-B,-9.87,,candidate
MAO-B_drug_cinoxate,MAO-B,-7.26,,candidate
MAO-B_drug_anisindione,MAO-B,-8.53,,candidate
POS_AChE_donepezil,AChE,-10.68,,positive_control
POS_MAOB_safinamide,MAO-B,-9.96,,positive_control
NEG_ibuprofen,AChE,-8.48,,negative_control
NEG_ibuprofen,MAO-B,-8.05,,negative_control
NEG_glucose,AChE,-5.82,,negative_control
NEG_glucose,MAO-B,-5.62,,negative_control
DECOY_0_0,AChE,-8.98,,decoy
DECOY_0_0,MAO-B,-6.0,,decoy
DECOY_1_1,AChE,-10.21,,decoy
DECOY_1_1,MAO-B,-3.56,,decoy
DECOY_2_2,AChE,-7.62,,decoy
DECOY_2_2,MAO-B,-7.01,,decoy
DECOY_3_3,AChE,-8.22,,decoy
DECOY_3_3,MAO-B,-6.74,,decoy
DECOY_5_5,AChE,-8.62,,decoy
DECOY_5_5,MAO-B,-7.79,,decoy
DECOY_6_6,AChE,-10.28,,decoy
DECOY_6_6,MAO-B,-10.2,,decoy
DECOY_7_7,AChE,-10.55,,decoy
DECOY_7_7,MAO-B,-8.76,,decoy
DECOY_8_8,AChE,-7.86,,decoy
DECOY_8_8,MAO-B,-6.57,,decoy
DECOY_9_9,AChE,-8.29,,decoy
DECOY_9_9,MAO-B,-6.21,,decoy
DECOY_10_10,AChE,-7.85,,decoy
DECOY_10_10,MAO-B,-7.93,,decoy
DECOY_11_11,AChE,-11.32,,decoy
DECOY_11_11,MAO-B,-10.93,,decoy
DECOY_12_12,AChE,-7.14,,decoy
DECOY_12_12,MAO-B,-6.83,,decoy
DECOY_13_13,AChE,-9.35,,decoy
DECOY_13_13,MAO-B,-3.98,,decoy
DECOY_14_14,AChE,-10.94,,decoy
DECOY_14_14,MAO-B,-9.56,,decoy
